682267,3507.0,2587.2528674252158,746,204,3933,4431,1546,6651,2797,2746,2842,9174
825989,813.1,812.8258669604456,1631,1712,219,54,43,57,711,1377,2273,54
812941,576.6,573.3508873281701,74,804,196,67,902,1761,62,54,541,1305
732019,3672.3,2800.294129194289,4650,1113,5275,1671,1596,3821,314,2725,10434,5124
635123,2095.4,1040.460494204369,2886,922,142,3307,3204,2537,2838,846,2145,2127
960761,250.0,140.965243943321,183,124,102,98,340,126,312,433,519,263
527027,21932.8,20947.45680888255,21278,11205,49115,9840,11432,7517,12231,72165,23788,757
785149,20.6,55.508918202393396,1,8,1,1,1,187,1,1,4,1
687811,2530.4,1050.4828604027769,1884,1904,1946,3168,2121,2838,1085,2033,3282,5043
854429,2105.5,1807.1131812921956,3425,3357,1402,987,297,6574,1723,234,1371,1685
553429,18190.7,9969.830550716497,10441,2352,23245,22745,9293,32690,12576,32986,24740,10839
1003883,206.0,96.55050491841045,286,277,306,160,133,84,379,212,140,83
562157,4045.6,4060.150174562512,600,2525,3157,919,13244,3566,1331,610,10038,4466
617143,13250.3,11153.081736004628,6073,10381,11712,10921,8259,43371,3200,3151,18520,16915
751561,11642.4,9675.853659496923,19822,4576,12257,2096,1172,10027,28290,1058,26646,10480
553183,2419.3,1866.4087467647594,671,3730,289,5234,217,5037,1823,3712,2954,526
989701,688.4,592.8200738841424,622,933,141,1747,1771,31,148,458,620,413
922843,33.3,4.196427051671457,35,37,31,32,38,32,34,23,33,38
587663,12265.3,11870.859160566264,9573,41801,3225,4499,7991,16253,24194,4319,221,10577
573193,15262.1,15286.99016451571,1253,13113,4403,13693,56829,9761,25688,10094,4362,13425
703597,5729.3,5053.697023961765,2631,2544,13142,1060,118,7677,3466,11879,13519,1257
877069,112.6,124.56018625548053,54,315,38,94,47,44,45,52,399,38
689753,4832.1,1670.3377772175304,5416,2262,7790,4432,6314,4567,3363,3510,3695,6972
604267,2356.0,1502.7076229260301,2725,4940,932,3840,2090,270,1289,1008,4378,2088
732443,1902.5,1800.0810676189003,1674,2536,1010,80,3555,549,721,444,2115,6341
608477,24489.0,18696.692974962178,32923,29913,2277,31247,13623,2276,62869,10654,45815,13293
