235667,2.1,0.41231056256176607,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
167137,1030.92,951.3652472105547,316,597,389,766,317,1532,487,172,2320,453,1054,5022,1703,891,1540,1683,1196,1877,198,658,444,3478,308,463,3056,236,999,149,1230,373,966,431,1557,313,718,470,1083,455,210,2256,320,1244,2542,1176,641,216,277,674,959,1131
246973,112.86,101.43037217717384,55,51,58,169,45,470,52,537,49,38,225,49,43,146,40,257,214,120,44,51,143,200,56,49,42,43,112,150,57,221,35,53,105,50,136,210,58,203,44,49,158,46,40,111,100,122,37,136,48,116
155357,3819.7,3764.6777086491747,3107,2066,2516,187,4821,7013,1479,2812,1083,2802,17888,1760,7454,466,1431,4874,13047,1739,2214,1129,2014,1011,11209,580,1225,4091,1377,9951,1109,4161,5681,3126,2293,498,910,5422,1893,8190,7128,360,1325,5681,7590,2815,5110,607,11897,1365,349,2129
159451,1520.46,1672.0677284129372,1182,455,692,361,564,7686,3343,348,2028,1330,303,1722,2073,700,1546,251,927,540,1032,740,1848,1019,1251,267,1482,2201,995,962,2786,1921,2105,1895,940,1567,4661,719,562,2487,9332,1207,1637,492,690,391,747,286,1108,620,490,1532
155989,1701.54,1315.274468846712,518,2743,1325,454,2008,2937,2537,371,2089,342,1475,5560,1532,1492,429,4465,1670,678,1279,2431,537,726,902,3882,1034,892,379,1576,1490,3149,4133,1479,2945,756,772,824,1608,1570,690,1415,5485,609,782,854,1196,1255,1108,446,1936,4312
201703,654.22,683.6245253061069,295,220,139,130,1085,1260,129,104,36,1559,430,75,1081,213,64,358,354,307,247,223,139,1130,1702,360,118,127,22,1222,1187,711,739,927,284,1625,361,2501,400,838,444,3263,1283,70,101,1661,1528,70,553,199,605,232
166217,3663.7,3033.958860960379,2283,5796,3097,919,1975,1848,12270,2681,5176,3499,3608,3631,2505,3706,2699,660,481,11579,3369,2117,2114,786,3027,939,83,1088,2782,9154,3556,141,5948,7070,1141,5228,8926,2644,244,917,2807,284,11329,4529,4292,1100,567,4876,5722,3506,6408,8078
133787,3458.72,3019.807795473083,884,1483,5535,2427,4745,811,6043,3227,3048,8370,1898,502,2188,4441,1321,310,9902,1076,4741,1837,142,4310,14040,4652,10513,3431,1413,274,3073,2667,437,1847,685,635,3307,2985,339,4785,2397,4561,740,3885,806,1796,1218,6240,6623,7153,9400,3793
163747,1867.42,1597.7629497519335,249,4195,1920,1306,2305,2482,4150,705,668,353,1044,142,5716,1163,1134,2577,665,881,942,782,198,1284,810,963,4749,2673,2834,105,4118,7842,3194,302,2512,3469,1135,2611,370,1262,327,4102,2695,1093,997,2724,1663,1584,1721,818,186,1651
135307,1773.46,1433.4512507929944,1536,2213,1497,1251,310,408,1229,200,137,665,1692,580,645,325,847,1351,347,2075,819,6581,4423,659,3623,1633,1736,1399,6094,2381,646,2049,2250,1063,2753,1484,432,2445,3335,954,1721,1110,2063,2667,657,4048,3492,262,1015,1004,4118,2449
162991,1158.1,1021.2612643197625,299,1222,3498,463,2591,197,1724,452,1185,442,154,667,411,228,1492,820,367,115,516,908,805,2760,1192,840,615,2197,243,4900,1612,2636,274,297,958,1124,99,537,918,876,758,726,1964,1108,633,2746,462,2378,1733,721,3375,667
189121,1427.28,1374.5992439980462,861,3861,380,147,853,1953,711,754,447,1065,38,1474,4623,275,194,150,368,2204,2054,1464,3390,646,163,683,2012,1402,580,1503,356,1704,820,5274,1511,1196,278,967,4377,727,2689,1408,4347,246,2292,922,1664,656,142,154,498,4881
132289,2065.1,1761.6169646095034,4151,2137,3036,2484,1934,2294,1137,794,5361,2510,503,160,2478,2643,4922,114,3671,1798,484,46,2858,1035,951,1184,684,2707,394,333,889,2407,412,1570,4896,728,3506,7244,910,1926,8396,490,1682,2998,502,890,2525,3205,1924,1087,724,1541
168479,2261.62,1929.4789544330356,1624,560,1069,1837,71,3957,754,1169,232,822,1691,528,2304,246,2908,2885,1101,649,529,1731,2443,554,6416,6439,1345,4660,3091,1615,1418,1054,3323,908,8074,988,6573,2255,908,2174,3377,3304,3146,38,1253,5259,3156,124,1023,4388,1394,5714
190163,469.2,369.6929536791308,1542,1145,211,370,139,552,589,229,605,415,357,1356,122,933,148,156,539,202,357,1210,406,722,1224,179,337,283,462,121,992,732,186,279,508,338,1177,165,873,121,251,555,394,184,263,19,278,368,336,142,140,248
161243,1746.84,1718.0515517294584,1976,1250,2921,3296,3901,2169,967,601,1998,1328,1222,442,1039,1993,2143,669,2128,564,99,2690,3092,296,1400,163,2777,97,365,3467,3997,3125,471,560,407,1128,1294,800,5256,1387,2086,859,145,1021,136,301,670,10182,3194,1336,692,3242
174661,488.02,398.8146180871509,620,43,1806,149,504,472,420,70,1571,464,410,331,164,248,367,876,172,135,198,238,310,287,1261,392,816,290,195,472,392,873,41,670,339,207,737,710,883,489,60,136,312,219,328,1162,593,926,12,192,1339,500
215287,465.18,402.93064862330834,299,1019,327,304,420,46,297,826,1016,404,676,213,201,233,1067,91,107,105,340,232,587,537,754,700,611,197,1306,177,551,63,317,328,200,1175,115,215,187,315,103,1069,404,103,560,362,718,2180,613,325,174,90
171389,4317.92,3684.4206700104155,4166,2850,3650,977,6670,865,944,7374,10189,1467,10972,2190,11015,7062,267,662,2426,2176,9250,5913,2637,5029,2531,7960,1630,1469,5761,4064,2054,137,2575,3002,4230,4357,5524,1896,1824,16698,877,2281,7613,14625,1594,1384,7133,1269,1825,1332,4989,6511
165073,1535.92,1285.7265158656407,191,872,594,2993,391,2913,2493,520,2655,489,2885,1143,345,599,925,1324,108,1869,1463,198,953,740,2493,2372,432,386,757,3834,365,94,897,650,4921,3598,1185,3945,753,3922,1642,1176,4372,590,973,1770,1517,1224,1867,3772,356,270
161197,5857.94,5831.931777413039,6026,3184,7652,3591,4904,32919,6764,2424,6529,1433,1540,8687,22486,60,2618,3727,4293,15398,10319,1973,1430,9685,6968,1558,4502,784,4454,5183,3704,1692,1827,1189,297,2782,3824,2406,2722,2800,10788,5263,2866,3586,12546,4353,11588,1420,4401,7884,11256,12612
201601,480.86,313.3632403457687,106,498,154,714,227,311,451,112,377,659,191,990,576,302,556,421,382,390,387,312,647,425,205,765,402,173,376,452,555,203,342,198,111,381,1101,421,495,80,194,409,605,415,1271,1041,373,435,1573,1071,801,407
172831,943.86,602.3833002333315,622,1771,1309,214,306,1002,1299,1416,1869,1415,347,300,2096,817,1281,783,360,527,1213,2035,379,1151,102,342,377,388,141,2311,1915,1428,455,842,1574,417,1664,882,620,769,253,352,1863,638,188,1503,1680,1058,467,818,771,863
185399,813.6,594.0425573980369,397,248,770,670,115,493,1242,873,887,1210,1002,1311,1080,679,294,381,594,1209,619,512,335,1675,1123,820,1725,744,336,213,165,283,718,817,365,701,363,508,1417,1967,163,177,439,448,866,2634,1094,572,1857,2717,268,584
